_id,DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES
477160.0,2020-01-09T19:00:00,29.2071533203125,40.9762573242188,sxkc0e,106,6,50,152
479908.0,2020-01-09T20:00:00,29.2071533203125,40.9762573242188,sxkc0e,115,6,58,96
480840.0,2020-01-09T21:00:00,29.2071533203125,40.9762573242188,sxkc0e,129,9,68,87
484724.0,2020-01-09T22:00:00,29.2071533203125,40.9762573242188,sxkc0e,121,6,62,75
487342.0,2020-01-09T23:00:00,29.2071533203125,40.9762573242188,sxkc0e,131,10,61,58
488301.0,2020-01-10T00:00:00,29.2071533203125,40.9762573242188,sxkc0e,130,20,71,46
491114.0,2020-01-10T01:00:00,29.2071533203125,40.9762573242188,sxkc0e,110,17,59,33
493253.0,2020-01-10T02:00:00,29.2071533203125,40.9762573242188,sxkc0e,128,12,58,24
494308.0,2020-01-10T03:00:00,29.2071533203125,40.9762573242188,sxkc0e,111,21,61,16
498230.0,2020-01-10T04:00:00,29.2071533203125,40.9762573242188,sxkc0e,99,14,58,25
500016.0,2020-01-10T05:00:00,29.2071533203125,40.9762573242188,sxkc0e,118,16,57,43
501339.0,2020-01-10T06:00:00,29.2071533203125,40.9762573242188,sxkc0e,122,6,55,125
502992.0,2020-01-10T07:00:00,29.2071533203125,40.9762573242188,sxkc0e,123,6,46,198
506602.0,2020-01-10T08:00:00,29.2071533203125,40.9762573242188,sxkc0e,101,6,41,166
509458.0,2020-01-10T09:00:00,29.2071533203125,40.9762573242188,sxkc0e,113,6,44,178
511913.0,2020-01-10T10:00:00,29.2071533203125,40.9762573242188,sxkc0e,115,6,50,153
514176.0,2020-01-10T11:00:00,29.2071533203125,40.9762573242188,sxkc0e,121,6,54,159
515905.0,2020-01-10T12:00:00,29.2071533203125,40.9762573242188,sxkc0e,123,7,56,134
518399.0,2020-01-10T13:00:00,29.2071533203125,40.9762573242188,sxkc0e,125,6,51,128
519573.0,2020-01-10T14:00:00,29.2071533203125,40.9762573242188,sxkc0e,112,6,53,148
522407.0,2020-01-10T15:00:00,29.2071533203125,40.9762573242188,sxkc0e,112,8,51,147
525257.0,2020-01-10T16:00:00,29.2071533203125,40.9762573242188,sxkc0e,99,6,47,145
526166.0,2020-01-10T17:00:00,29.2071533203125,40.9762573242188,sxkc0e,122,6,46,148
529302.0,2020-01-10T18:00:00,29.2071533203125,40.9762573242188,sxkc0e,112,6,43,168
530605.0,2020-01-10T19:00:00,29.2071533203125,40.9762573242188,sxkc0e,110,6,44,171
533037.0,2020-01-10T20:00:00,29.2071533203125,40.9762573242188,sxkc0e,111,6,56,123
535444.0,2020-01-10T21:00:00,29.2071533203125,40.9762573242188,sxkc0e,112,6,54,95
537676.0,2020-01-10T22:00:00,29.2071533203125,40.9762573242188,sxkc0e,104,6,61,99
541137.0,2020-01-10T23:00:00,29.2071533203125,40.9762573242188,sxkc0e,116,8,56,79
